Pass→Verb,Inf2→Noun,P3sg,3.7005743440349246,4.759609387391177,40294,0.777495387297585
Pass→Verb,Narr,A3sg,4.690801834393241,2.184940713415676,23034,0.46579258526667217
Prog1,Past,A3sg,3.8311199712213773,2.6318014957972697,22522,0.6869535581153414
Narr,Past,A3sg,3.5154312432021095,2.6318014957972697,19155,0.7486425743318007
Pass→Verb,Aor,A3sg,2.402628014701414,2.129980764815157,13567,0.8865212391523122
Inf2→Noun,P3sg,Dat,4.759609387391177,8.878630575601637,10710,0.5360747186024974
Caus→Verb,Pass→Verb,Inf2→Noun,20.330647974657357,3.7005743440349246,10547,0.18201949827904057
Able→Verb,Aor,A3sg,9.089763031979816,2.129980764815157,10485,0.23432742496382022
Inf2→Noun,P3sg,Acc,4.759609387391177,8.013375680374185,10353,0.5939580992125564
Pass→Verb,Narr,Cop,4.690801834393241,5.284155389097401,9815,0.8877108050364295
Neg,Opt,A3sg,12.733679373165517,2.2892470359422212,9447,0.1797789129798961
Neg,Aor,A3sg,2.9088329131252824,2.129980764815157,9281,0.7322458279415858
Caus→Verb,Inf1→Noun,A3sg,7.033614463699543,2.992703701209541,9005,0.42548588874964266
Acquire→Verb,Caus→Verb,Pass→Verb,24.982667619777885,20.330647974657357,8943,0.8137901157745985
PastPart→Noun,P2sg,Acc,9.220926956481252,10.044760071842399,8689,0.9179837935929872
Pass→Verb,Prog1,A3sg,1.8195363623176866,1.9585388531469994,8603,0.9290274529882507
PastPart→Noun,P3sg,Acc,3.0312340761990986,8.013375680374185,8419,0.3782718041814751
Aor,Past,A3sg,1.3524460580289823,2.6318014957972697,6317,0.5138860435290074
Pass→Verb,Able→Verb,Aor,5.727701143387518,9.089763031979816,6053,0.630126563611855
Caus→Verb,Pass→Verb,Narr,20.330647974657357,4.690801834393241,6041,0.2307256433853185
Pass→Verb,Prog2,Cop,3.6660733302682735,25.06573961945472,5801,0.14625833452059234
Pass→Verb,PastPart→Noun,P3sg,3.548251851359929,3.0312340761990986,5778,0.854289436934226
Pass→Verb,Fut,A3sg,2.7446583167822642,1.9617713515848456,5764,0.7147597715859778
Neg,Prog1,A3sg,5.905796494495934,1.9585388531469994,5559,0.33162992578093614
Inf2→Noun,P2sg,Gen,1.9391021800098047,16.71553128063093,5444,0.11600601545083603
Caus→Verb,Aor,A3sg,1.5456728763285128,2.129980764815157,4953,0.7256745703347459
Become→Verb,Caus→Verb,Pass→Verb,17.24968898912864,20.330647974657357,4810,0.8484574131936569
Inf2→Noun,P3sg,Gen,4.759609387391177,6.261021483902125,4734,0.7601969422447651
Caus→Verb,Prog1,A3sg,2.1799692319459565,1.9585388531469994,4680,0.8984249981357322
Inf2→Noun,P3sg,Loc,4.759609387391177,9.02917937992366,4472,0.5271364303575746
Caus→Verb,Pass→Verb,PresPart→Adj,20.330647974657357,5.078672509379135,4368,0.24980376993934592
Become→Verb,Inf2→Noun,P3sg,3.4431781030462436,4.759609387391177,4258,0.7234161089285329
Neg,Past,A3sg,1.6437014070741809,2.6318014957972697,4075,0.6245537171777628
Inf2→Noun,A3pl,P3sg,2.45808697408137,1.5718553567457394,4056,0.6394628722741469
Pass→Verb,Narr,Past,4.690801834393241,3.5154312432021095,4037,0.7494307726723299
Aor,Cond,A3sg,12.926702427804067,2.1373730115388763,3853,0.1653455723511974
Neg,Narr,A3sg,1.741836164561887,2.184940713415676,3822,0.7972006534854247
Caus→Verb,Neg,Opt,3.304620130235213,12.733679373165517,3799,0.25951808847953617
Inf2→Noun,A3pl,P3pl,2.45808697408137,16.24391152508966,3649,0.15132358793537581
Pass→Verb,PastPart→Noun,P2sg,3.548251851359929,9.220926956481252,3497,0.38480424669950514
Narr,Past,A1sg,3.5154312432021095,7.199022235990581,3406,0.4883206535503065
Prog1,Past,A1sg,3.8311199712213773,7.199022235990581,3376,0.5321722652929433
Pass→Verb,Neg,Opt,2.5570537406896148,12.733679373165517,3333,0.2008102815968694
Unable,Aor,A3sg,4.140408096848984,2.129980764815157,3330,0.5144373972305188
Caus→Verb,Inf2→Noun,P3sg,2.2715775729499517,4.759609387391177,3287,0.4772613439597912
Pass→Verb,Neg,Aor,2.5570537406896148,2.9088329131252824,3261,0.8790651842364805
Inf2→Noun,P3sg,Ins,4.759609387391177,11.555093468920049,3243,0.4119057453055821
Neg,Prog1,A1sg,5.905796494495934,4.583385364221877,3149,0.7760825095299994
Inf2→Noun,A3pl,P2sg,2.45808697408137,6.625410462682409,3068,0.37100900961933336
Become→Verb,Narr,A3sg,1.796965861631208,2.184940713415676,2965,0.822432320747983
Pass→Verb,PastPart→Noun,Acc,3.548251851359929,7.009962209896926,2954,0.5061727503110323
Inf2→Noun,P3sg,Abl,4.759609387391177,5.930468470545925,2869,0.8025688714188602
Pass→Verb,PastPart→Adj,P3sg,2.522503708898406,7.8176014974080665,2836,0.32266977406494113
Acquire→Verb,Inf2→Noun,P3sg,2.7015582312356794,4.759609387391177,2798,0.5676008284193358
Pass→Verb,Prog1,Past,1.8195363623176866,3.8311199712213773,2766,0.4749358871519783
Prog1,A3pl,Past,1.484954910172138,2.226669764256726,2726,0.6668949900021764
PastPart→Noun,A3pl,P3sg,1.6847509684910866,1.5718553567457394,2679,0.9329897332859467
Become→Verb,Caus→Verb,Inf2→Noun,17.24968898912864,2.2715775729499517,2639,0.1316880306874854
Able→Verb,Fut,A3sg,5.346612227997401,1.9617713515848456,2629,0.36691857720896215
Caus→Verb,Inf2→Noun,A3pl,2.2715775729499517,2.45808697408137,2624,0.9241241652154639
