"Register","Text","Left","-5;5","Right"
"w","W-PD02A1B-4549-977","“Yörede çekilmesi çekici.Yöreyi yansıtıp reklam","yaptığı","için diziye minnettarız” minnettarız” Gümüşçü,"
"w","W-UE05A1B-4299-456","“adeta insan na‘şından na‘şından na‘şından","yapılmış”","yapılmış” idi. Ermeni ve Rusların"
"w","W-RI22C3A-0520-303","şöyle yaptın?"", ""Hayır ben öyle","yapmadım"",","""Ama beni aramadın"", ""Ben onu"
"s","S-BEABXO-0389-707","şöyle yapalım. Şunu da şöyle","yapalım.","Ver ver ver heh şöyle"
"s","S-BEABXg-0088-856","şöyle duramıyosun. <gülme> <gülerek> Benim","yaptıklarımı","yapma yüzersin. <gülme> Öyle mi?"
"s","S-BEABXO-0389-988","Şöyle de yapabiliriz. Şunları bir","yapsak.","Hı. <B> onları alacaz. Şunu"
"w","W-UA16B3A-1065-1278","şuursuzca sallıyordu. Handan çığlık atarak,","""Yapma","Meltem, lütfen. Aman Allahım ne"
"s","S-BEABXO-0147-1866","şuraya geçerken aynı şu işi","yaptınız.","İki çarpı üç eşittir üç"
"w","W-NG43C1B-1886-354","şunun şurasında? Gelin Bir pazarlık","yapalım","sizinle ey insanlar! Bana kötü"
"s","S-ADABI]-0127-397","şunları şunları sölesin biz bunları","yapalım,","ilk senemde bunlar olmadığı için"
"s","S-BEABXO-0389-1222","Şunları yapalım. Sonra şunları bir","yaptım.","Şunlar şöyle kalsın. O zaman"
"w","W-VE30D1B-2125-2259","şunları söyledi ""ABD Türkiye'ye baskı","yapamaz.","Eğer 70'ler, 80'ler ya da"
"s","S-BEABXc-0167-1853","Şunlardan sora. <D 5> Yaptım,","yaptım","<şımararak> yaptım. Naptım, naptım? <D"
"s","S-ADBBI^-0042-1210","Şuna çok mutlu oluyorum, ben","yapamadım","ama başkaları çok güzel bir"
"s","S-ACABTZ-0336-1239","şube başkanı Tamer Gülbeyaz'ı konuşmasını","yapmak","üzere buraya davet ediyorum. <Alkış>"
"s","S-ADAB^A-0317-1155","şuanda bu tarz bir çiniyi","yapamıyoruz.","Tavanlar falanda yani hep orginal"
"s","S-BEABX\-0065-1455","Şu şey güzeldi. Ben şey","yapmıcam.","Ben şu işi halledersem lazım"
"w","W-SA16B4A-0269-591","şu tespitler yapılıyordu ""Davalının bankaya","yaptırdığı","1 milyar 652 milyon liralık"
"w","W-NE09C2A-0324-308","şu kadar param var, yaptırıyorsanız","yaptırın,","yoksa evi kapattıracağım,"" diyor. Tehdit"
"s","S-BEABXu-0435-1676","şu el bitsin. Sen ne","yapıon","kız goz toplayacak bak aklı"
"s","S-ADABIi-0124-1974","şu anda genel sanat yönetmenliğini","yapıyorum.","Böyle bir emm bi tiyatro"
"s","S-ADABPZ-0125-120","şu an bugün burada emm","yapılan","gibi öğrencilerimize emm alanlarıyla ilgili"
"w","W-IE05A2A-1016-1378","şirketler birbirleriyle bir değişim anlaşması","yapabileceklerdi.","Bu sayede kendi piyasası yakınında"
"s","S-BEABXO-0095-1594","şirini yapim. Sen hangi şirini","yapacaksın?","Gözlüksüz şirin. <gülme> Gözlüksüz şirin"
"s","S-BEABXO-0094-1341","şimdi? İz oldu. Neyle iz","yaptın?","Nehir ne yemek yapalım? Bundan."
"w","W-HE39C4A-0475-1582","Şimdi, şöyle istekler olursa ne","yapacağız?","1. Ben öğretmenim. Deney yapamam"
"w","W-QI22C3A-0010-2096","Şimdi, oturduğu yerden kalkmadan yapıyor","yapmak","zorunda olduklarını. Ve hiç de"
"s","S-ACABQq-0426-1420","Şimdi, madde üzerinde soru-cevap işlemi","yapılacaktır.","Sayın Doğru. Sayın Başkanım, aracılığınızla"
"s","S-ACABQq-0423-631","Şimdi, arkadaşlarım, bütün bunları niçin","yapıyoruz;","Avrupa Birliğine girişimiz kolaylaşsın, bize"
"w","W-SE39E1B-3036-1771","şimdi çeteler hâlinde geziyor, baskınlar","yapıyor,","mâsum insanları -hem de çoluk"
"s","S-ADABAo-0310-1231","Şimdi tabiki ben 2 senedeir","yapmış","olduğum araştırmalarda emm 2 buçuk"
"s","S-BEABXL-0338-1161","Şimdi o zaman sen şey","yapıcan","abi şimdi emm diyelim anestezi."
"w","W-OA16B2A-1253-1880","şimdi ne olacak? Uçurtmaya ne","yapacak?","Dayı, eve girip kapıyı kapar"
"s","S-BEABXO-0342-1823","Şimdi köyde bir patırtı kütürtü","yapıyorlar","bunlar Kazaklar, Ruslar, Türkler, birbirine"
"w","W-QE37C2A-0186-370","şimdi hangi balık takılacak"" uygulaması","yapılmaktaydı.","Kısa süre içerisinde ilk balık"
"s","S-BEABXg-0088-1780","şimdi diyolar ki ee! nişan","yapalım.","Nişan olsun ee! nişan olsun"
"s","S-BEABXO-0002-2419","Şimdi bunlar bilyor musun ne","yapacan?","Ney? Üstüne su koyacaksın dökecen"
"s","S-BEABXO-0083-354","Şimdi bu İlker acemiyi orda","yapacak","ondan sonra neresi çıkacak ki?"
"w","W-VE05A4A-2591-650","Şimdi biz ülke olarak ihracat","yapmadan","zenginleşemeyiz ki. O zaman bütün"
"s","S-BEABXO-0075-1166","şimdi ben kaç yaşına kadar","yapacam?","Tecil ettirebiliyor muyum? Ama ben"
"s","S-BEABXO-0136-1139","şimdi bak ne yapcam. Ne","yapcaksın?","Bak, şunu alcan tamam mı?"
"w","W-SH42E1B-2919-1498","şimdi açıktan yapılmaya başladı. Kiliseler","yaptırılıyor,","açılıyor, apartman daireleri kilise evlere"
"w","W-JE39C2A-0422-1634","şiirlerden yoksun kalmış, şair ne","yapsın?..","Toplumun ve toplum yöneticilerinin kendine"
"w","W-RI41C2A-1463-1685","şeylerle ilgilenmekteyiz. Durum böyle olunca","yaptığımız","şey, zamanın belli bir kısmının"
"s","S-ADABPZ-0119-2216","şeyleri yapmıştım dedi. Şimdi neler","yaptığını","burda anlatacam size. Şimdi <B>"
"s","S-ADABI]-0127-1740","şeyler öğrenip Mersinde doğru tiyatro","yapıp","seyirciyi çekmek varken niçin yerimizde"
"s","S-ADABCo-0335-1375","şeyler yaptı, başkaları bir şeyler","yaptı.","Hani paralar yendi, tuhaf şeyler"
"s","S-BEABXO-0122-1178","şeyler oldu dedi engeller oldu,","yaptıramadık","dedi. Ama sonra yaptırırız dedi"
"s","S-BEABXw-0397-441","şeyler için <B> Hayır, mangal","yapıyorlar,","yediklerini atıyorlar. Hı-hıı, başka <B>."
"w","W-TI09C3A-1229-1340","şeyler değildi. Öte yandan CHP'nin","yaptığı","muhalefetin de ölçüsü yok. Anlattım"
"s","S-ADABIO-0437-579","şeyim isterim aslında da ama","yapmıyorum.","Hobileriniz var mı? Evet var"
"w","W-CA16B3A-0577-525","şeyi haftada ikiye çıkardık da...","YAP...","İŞLET... DEVRET... Yok sayın yargıcım,"
"w","W-PG09C4A-0224-1032","şeyi bırakmak istiyorum."" ""Hayır, öyle","yapmayacaksın,""","dedi annem. ""Çocukken de en"
"s","S-BEABXO-0056-1340","şeye karışyorsun kendine hiç bakım","yapmıyorsun.","Neden acaba? Başına mı kalacan"
"s","S-BEABXs-0130-362","şey yok onlarda aynı işi","yaparlar","yani. Ondan sonra biz benim"
"s","S-BEABXS-0111-1757","Şey yapıyoruz, amca biz şey","yapıyoruz","da kadınlar için söylenen atasözleri"
"s","S-BEABXO-0128-1213","şey yaptık biz, çatı çatı","yaptırdık","çünkü su akıyordu yani acayip"
"s","S-BEABXO-0002-253","Şey yapma! Ama çok güzel","yapmışlardı","bizi maymuna döndürmüşlerdi. Bunların saçlarını"
