"Register","Text","Left","-5;5","Right"
"w","W-SE20C0A-0238-1274","“Ulan “Ulan hane nerde! dur!","bırak!","öldürme! ben yakalarım!” yakalarım!” filan"
"s","S-BEABXO-0007-181","şöyle bak. Şöyle şöyle dikti","bıraktı.","Allah'ım ya. Dikti dikmedi benim"
"s","S-BEABXO-0445-385","şunu bırak. Onu yedin. Onu","bırakma.","Terbiyesiz! Gerçekten terbiyesiz. Ben bi"
"w","W-DA16B3A-1494-593","şu topu..."" Zeynep pantalonun paçasını","bıraktı.","Badi badi koştu. Oyuncak sepetinden"
"s","S-AAABOp-0011-416","şu <D 1176> Takdiri size","bırakıyorum.","Benmerkezcilin de olduğunu düşünüyorum çünkü."
"s","S-ADABAo-0318-562","Şoray nasıl gelir Türk sinemasına","bırakın","Türk sinemasını bir cemiyet hayatına"
"s","S-BEABXd-0170-292","şimdiden daa. Şimdiden evet. İz","bırakmayan","deseymiş çok ii, hiç iz"
"s","S-BEABXO-0128-124","şimdi. Şeye geçti Fethiye'ye geçti.","Bıraktı","mı? Hı, öylemi? Hı? Fethiye'ye"
"w","W-EA16B4A-0688-1349","şimdi. Koşup Cezayir'li'nin kollarına kendini","bırakmak,","onun o güzel orman kokusunu,"
"s","S-BEABXg-0088-568","şimdi siken mi sabaha mı","bırakın?","<gülme> Valla naparsan yap artık."
"s","S-ADABAo-0308-397","şimdi ilk 8 ayı geride","bırakıyoruz","emm ağustosun son günündeyiz böyle"
"s","S-BEABXO-0375-767","Şimdi elime sal onu. Hıh!","Bırak","burda ben ateşe atarım onu"
"s","S-BEABXO-0450-172","şimdi bıraktı yani. Hah! Kendisi","bıraktı.","Hı-hıı. Hazırlığı 3 senede verirse"
"s","S-BEABXO-0342-513","Şimdi bu kadıncağızı ağabeyleri de","bırakıp","gidiyor tek başına, babaanne de"
"s","S-BEABXs-0130-64","şimdi 7 kişi de yedek","bıraktılar.","O gerizekalılardan biride benim yani."
"s","S-ADABPZ-0112-716","şeyleri fark eden çocukta etkiler","bırakacaktır.","Çocuk büyüdükçe artık estetik kaygılarda"
"w","W-OD39C2A-1194-1113","şeyler oluyor ki; Tibuk'a göre,","bırakın","kızmayı zıvanadan çıkmamak elde değil."
"w","W-BA22B2A-1149-1513","şeyler de gelecektir. O vakit,","bırak","taksınlar diyemeyiz ki! Niçün? Çünkü"
"s","S-BEABXO-0451-171","şeyi var. Bi rimel sürdü","bıraktı","yaa! Yok daha. Çok natural"
"w","W-SD02A1B-4589-2216","şeyi kendinden başlatıyorsa ve geride","bırakılan","hem geleneksel hem modern öykü"
"s","S-ADABCo-0242-786","şeyi bırak kendi parasını almayı","bırak","cebinden oyunculara para veriyodu. Bu..."
"w","W-CH42C4A-0484-1802","şeye rağmen ihtiyadı da elden","bırakmamalıdır.","Çünkü, bazı öğretmenler gayet iyi"
"s","S-BEABXR-0010-27","şeyden ara istersen babandan. Çağrı","bıraktın","mı? Gülay'a mı? Hıı söyliyek"
"s","S-ACAAPZ-0032-14","şey yaptınız. Bize çok şey","bıraktınız.","Zor çünkü bunları muhafaza ve"
"s","S-BEABXO-0344-776","şey yapalım hemen. Neslihan yemeği","bırak","şimdi. Ağbicim işin var mı?"
