"Register","Text","Left","-5;5","Right"
"s","S-BEABXO-0136-623","Şöyle...<B> Kestik. Şunun içine şöyle","bak","koyduk. Başka tabak var mıydı?"
"s","S-BEABXB-0073-2036","şöyle tamam mı hocada kalkıyordu","bakıyordu","şöyle çok komik durumda oluyorduk"
"w","W-QF10E1B-2868-737","şöyle sürdürüyor ""Bankacılık sistemi olarak","baktığımızda,","önümüzdeki dönemde kurumsal bankacılığın toplam"
"s","S-BEABXW-0069-111","Şöyle bakıyorum. Taşa bakıyorum okeye","bakıyorum.","<Gülme> <B> Oyna Murat. Ayy"
"s","S-BEABXO-0147-2431","Şöyle anlatiyım... Şimdiye kadar karşılaştıklarımıza","bakarak...","Ben ne bulamam ki bunu"
"s","S-BEABXO-0087-709","şut bu lan! <D 15>","Bak","bak şuta bak. <D 35>"
"s","S-BEABXp-0156-2253","şurdan şöyle bi şey geldi","bakın","emm işte bu... <B> Kültürel"
"s","S-BEABXO-0392-1632","şurda yerdik. Of! Kaçan pozisyona","bak","ya. Yaa? Ne pozisyonu. O"
"s","S-BEABXX-0411-854","şurası sahile ya da denize","bakmalı.","Mersin'de de öle bi yer"
"s","S-BEABXc-0167-913","şundan sora vardı ya, bi","bak.","Hıı. Şundan sora ne yazıo?"
"s","S-ACAAPZ-0384-2417","Şuna baktığımızda şunu görüyo... dünyaya","baktığımızda","gelişmiş ülkelerde bir tek fark"
"s","S-ADABAo-0307-1697","şuanda. Bu emm yekün içersinde","baktınız","zaman biraz küçük tutuyor ama"
"s","S-BEABXr-0078-2207","Şuan bal rengi olmuş bi","bak","aynaya. O yerine göre değişiyo."
"s","S-BEABXO-0453-836","Şu önümüzdeki 2 günü say","bakalım","Damla. Saydım sayıyorum. Birine karşı"
"w","W-UA16B1A-1233-1707","şu köşeden. Karpuzcudan karpuz aldım,","baktım","baktım bakakaldım. Sonra aldım bıçağı,"
"s","S-BEABXO-0128-962","Şu kadarcık bir şey sineğe","bak","bide bana bak yani ya"
"s","S-BEABXz-0387-2337","Şu benim. <gülme> Çok artist","bakmışsınız.","Öğretmenimizde Zuhal... Anama sorsam olur"
