"Register","Text","Left","-5;5","Right"
"w","W-RE05A1B-4278-1072","“barbarlığa düşüşü” düşüşü” yalnızca kayıtlara","geçmek","yerine, tutup yargılamak istediğimizde tek"
"w","W-UE36E1B-3357-2343","şık ve eğlenceli bir gece","geçirdik.","10 Mayıs/Studio Mayıs/Studio Live Bu"
"s","S-BEABXg-0070-1012","şükür yani. Blue, fish, black...","Geçen","fish ne dedim bilemedin. Bu"
"s","S-BEABXO-0441-2341","şöyle şişti. İki gün sonra","geçti.","Hacı sokması ayrı gelip gezmesi"
"s","S-ACABTZ-0336-2293","şöyle çok kısa hatlarla gözden","geçirirsek","Mazyük temin eder bir defa."
"w","W-QG36C4A-0452-1078","şöyle değerlendirmişim ""Sonra... Geceden şafağa","geçerken,","Cahil Külehi'den F. H. Dağlarca'ya,"
"s","S-BEABXO-0418-1782","şöför rahattı ama o kriz","geçirmişti,","yaralıyı bıraktılar kadına bakıyorlar yani"
"w","W-SA16B2A-1070-1009","şurdan bu kadar faydasız adam","geçeceğine","bir Ertuğrul Muhsin geçseydi ya,"""
"s","S-BEABXE-0082-1055","şurayı geçtikten sonra yani. Orayı","geçtikten","sonra değel. <B> Yok mu?"
"s","S-BEABXO-0345-948","şunu tek tek yazarız. Şeye","geçelim","hazırlamaya geçelim. Burda ne var?"
"s","S-AEABTZ-0040-972","şunu söylemek istiyorum. Bu emm","geçtiğimiz","gün enerji bakanı Sayın Hilmi"
"w","W-CD02A1B-3505-1652","şuna inanmaktadır ki, Türkçe sınavlarını","geçmek","dışında, bu ders kendisine hiç"
"s","S-ADABIA-0264-658","şuanda Türkiye'de komedide 5-10 kişiyi","geçmez","tahmin ediyorum oyuncu olarak, ee"
"s","S-BEABXg-0070-1221","şuan ordayım dedi. Meğer bizim","geçen","yılki şefimiz var ya Kemal..."
"s","S-BEABXO-0418-2177","şu şeyi vermezse performans ödevini.","Geçen","hafta da dedin gelicem beni"
"w","W-KE39C2A-2613-1409","şu şekildedir. Tamirde bulunan adı","geçen","şilebin makine dairesinde oksijen kaynağı"
