"Register","Text","Left","-5;5","Right"
"w","W-UE36E1B-3296-161","şüphesiz. Seslerle ortaya çıkan gerçek","konuşmayı","rötuşlayabilen, ona renk, kişilik ve"
"s","S-ADABPZ-0112-1285","şükranlarımı sunmak istiyorum. Emm bu","konuşmamda","işitme kaybından maksadım sinirsel bir"
"s","S-AEABTZ-0041-1011","şöyle ikna etmişti, çocuklar konuşurken,","konuşmayı","öğrenirken herhangi bir şekilde yazıyla"
"w","W-SI45F1D-4710-585","şöyle cereyan etti. Gençlerle oturmuş","konuşuyorduk.","önemli konuları tartışıyorduk. Ben naçizane"
"s","S-BEABXO-0390-447","şöyle biri; her telden insanla","konuşur.","Bi kere önyargılı deiil. O"
"s","S-AEABUZ-0021-813","şöyle aranıza bu masanın arkasından","konuştuğum","zaman ben kendimi daha güvende"
"s","S-BEABXO-0012-303","şöle oldu, böle oldu. Şurda","konuşuyo","tamam. <D 1556> Dağılın. Bir"
"s","S-AEABUZ-0021-1946","şunu açarsam bundan daha rahat","konuşabilirim","galiba. Hah burdan geliyor di"
"w","W-TE39C0A-1396-2457","Şube Başkanı Hüseyin Gökbulut, açık","konuşmasından","ortamın baskılı, yasaklı durumu örneklerle"
"w","W-SH39C0A-0142-2378","Şu birbirine benzemekten nefret ediyorum.","Konuşurken,","yürürken birbirini tekrar edenler oluyor,"
"s","S-BEABXO-0056-1371","Şu anda limit doldu! Hep","konuşmalarını","kaydediyorlar ha! Anne! Sen söylüyon"
"w","W-LD03A4A-0254-2142","şu ana,"" diye düşünüyordum. Arkadaşım","konuşmaya","devam etti. Konuşması belki bir"
"s","S-ADABPZ-0135-531","Şu 2 gün boyunca neler","konuşuldu,","hangi noktalar üzerinde yoğunlaşıldı, bunların"
"w","W-RA15B4A-0542-595","şok olmuştu. Bir süre kimse","konuşmadı.","Açıklarda olmamıza rağmen deniz iyice"
