Prog2__A3sg,48
Prog2__Cop,44
A3sg__Cop,174
Pass→Verb__Neg,129
Pass→Verb__Imp,81
Pass→Verb__A2sg,79
Neg__Imp,80
Neg__A2sg,79
Imp__A2sg,79
Inf2→Noun__A3sg,900
Inf2→Noun__P3sg,650
A3sg__P3sg,682
Inf2→Noun__Dat,200
A3sg__Dat,221
Able→Verb__Inf1→Noun,21
Able→Verb__A3sg,95
Inf1→Noun__A3sg,488
Pass→Verb__Inf2→Noun,518
Pass→Verb__A3sg,776
Pass→Verb__P3sg,512
Able→Verb__FutPart→Noun,10
Able→Verb__P3sg,23
Able→Verb__Acc,8
FutPart→Noun__A3sg,44
FutPart→Noun__P3sg,16
FutPart→Noun__Acc,27
A3sg__Acc,121
P3sg__Acc,73
Imp__A3sg,73
Aor__A1sg,9
Aor__A3sg,114
Pass→Verb__Zero→Verb,5
Pass→Verb__Pres,5
Pass→Verb__Cop,39
Inf2→Noun__Zero→Verb,11
Inf2→Noun__Pres,11
Inf2→Noun__Cop,11
A3sg__Zero→Verb,40
A3sg__Pres,33
A3sg__A3sg,40
P3sg__Zero→Verb,9
P3sg__Pres,9
P3sg__A3sg,9
P3sg__Cop,9
Zero→Verb__Pres,35
Zero→Verb__A3sg,42
Zero→Verb__Cop,35
Pres__A3sg,35
Pres__Cop,35
Pass→Verb__Aor,37
Neg__Aor,5
Neg__A3sg,49
Inf2→Noun__A3pl,44
Inf1→Noun__Ins,25
A3sg__Ins,41
Pass→Verb__Acc,66
Inf2→Noun__Acc,75
Pass→Verb__P2sg,15
Pass→Verb__Gen,21
Inf2→Noun__P2sg,38
Inf2→Noun__Gen,81
A3sg__P2sg,64
A3sg__Gen,83
P2sg__Gen,34
Pass→Verb__Opt,31
Neg__Opt,31
Opt__A3sg,31
Able→Verb__PresPart→Adj,4
Unable__Aor,17
Unable__A3pl,6
Aor__A3pl,12
Pass→Verb__Narr,44
Narr__A3sg,97
Prog1__A3pl,11
Narr__Cop,37
Pass→Verb__ByDoingSo→Adv,14
P3sg__Gen,22
PastPart→Noun__A3sg,79
PastPart→Noun__Acc,43
Pass→Verb__Prog1,16
Prog1__A3sg,105
Inf1→Noun__Abl,5
A3sg__Abl,32
Pass→Verb__FutPart→Noun,14
Neg__PresPart→Adj,3
Pass→Verb__PastPart→Noun,25
PastPart→Noun__P3sg,35
Pass→Verb__Dat,62
P3sg__Dat,73
Inf2→Noun__With→Adj,6
A3sg__With→Adj,6
Pass→Verb__Fut,25
Fut__A3sg,59
Able→Verb__Narr,2
Pass→Verb__A3pl,17
A3pl__P3sg,19
A3pl__P2sg,7
Prog1__Past,27
Past__A3sg,78
Unable__A2sg,1
Aor__A2sg,1
Unable__PastPart→Noun,6
Unable__A3sg,38
Unable__P2pl,1
PastPart→Noun__P2pl,4
A3sg__P2pl,7
Unable__Cond,2
Aor__Cond,4
Cond__A3sg,10
Pass→Verb__WithoutHavingDoneSo→Adv,1
Pass→Verb__AfterDoingSo→Adv,15
Pass→Verb__Unable,11
Pass→Verb__Neces,14
Neces__A3sg,28
Inf2→Noun__Loc,36
A3sg__Loc,56
Prog1__A1sg,7
Pass→Verb__Loc,21
P3sg__Loc,24
Able→Verb__Fut,12
Unable__P3sg,13
Unable__FutPart→Adj,3
Unable__P3pl,2
FutPart→Adj__P3pl,1
Unable__Prog1,4
Opt__A1sg,2
PastPart→Noun__Dat,9
Pass→Verb__Able→Verb,28
Pass→Verb__Prog2,12
Able→Verb__Prog2,5
Able→Verb__Cop,9
P2pl__Dat,1
Neg__Inf1→Noun,2
Pass→Verb__P3pl,13
FutPart→Noun__P3pl,3
FutPart→Noun__Dat,15
A3sg__P3pl,22
P3pl__Dat,2
PastPart→Noun__P2sg,17
P2sg__Acc,18
Able→Verb__Inf2→Noun,20
Pass→Verb__Past,20
Neces__Past,3
Neg__A1sg,2
Able→Verb__Aor,27
Able→Verb__Past,4
Aor__Past,9
Pass→Verb__While→Adv,1
Aor__While→Adv,12
Pass→Verb__Abl,15
Inf2→Noun__Abl,20
PastPart→Noun__A3pl,19
PastPart→Noun__P3pl,11
A3pl__P3pl,18
A3pl__Acc,25
Unable__Fut,3
Inf2→Noun__P3pl,24
Unable__Abl,2
PastPart→Noun__Abl,7
P3sg__Abl,17
Cond__A1sg,1
Neg__Prog1,7
Neg__Cond,1
Prog1__Cond,5
Opt__A1pl,5
PastPart→Adj__P3pl,2
A3pl__Past,7
Inf2→Noun__Ins,18
Inf2→Noun__P2pl,4
Unable__P1sg,1
PastPart→Noun__P1sg,4
A3sg__P1sg,10
Neces__Cop,14
PresPart→Noun__A3pl,15
Neces__Narr,1
Neces__A1sg,1
Narr__A1sg,2
Neg__PastPart→Adj,3
Neg__P3sg,4
PastPart→Adj__P3sg,19
Unable__PresPart→Noun,3
Unable__Dat,3
PresPart→Noun__Dat,4
A3pl__Dat,7
Neg__Able→Verb,1
Prog2__A3pl,2
Cop__A3pl,4
With→Adj__Zero→Verb,1
With→Adj__Pres,1
With→Adj__A3sg,1
With→Adj__Cop,1
Unable__PastPart→Adj,3
Inf1→Noun__Zero→Verb,30
Inf1→Noun__Pres,24
Inf1→Noun__Cop,24
PastPart→Adj__P1pl,2
Narr__Past,2
P2sg__Dat,10
Imp__A2pl,12
Pass→Verb__Inf1→Noun,43
Fut__Cop,17
Pass→Verb__A1pl,4
Prog1__A1pl,6
Able→Verb__Zero→Verb,1
Able→Verb__Pres,1
Pass→Verb__PresPart→Adj,34
Fut__Past,6
Neg__Inf2→Noun,2
Neg__P3pl,1
