collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('Acquire→Verb', 'ByDoingSo→Adv')",1.9508227145500006,1.8805853171784448,1.9596580284909864,1.0224326009470852,0.026724028313482813,18.032491443131953,1.4179393548881778e+26,1.8411219528215268,2.0670598478128883,1.7748342203457188,1.9926374501040778,55321,39051,1261,717,80
"('Stay→Verb', 'P1sg')",1.9434501897441374,1.9534835874172303,1.9537050831109215,2.557490196262647,0.0006007359014793121,1.6602593500619394,1.4502141437284862e+26,0.7254517696747766,5.2064090238690435,0.7291970398835049,5.233288010766122,180,13137,4,0,1
"('Acquire→Verb', 'Inf1→Noun')",1.9426000774754761,1.87776881529109,1.9562563948435183,0.8032818469746476,0.031089071142475683,18.888153167154673,1.3794130660008864e+26,1.854195162207814,2.0352199908203503,1.7923142768439388,1.9672976827973583,55321,70511,1956,552,65
"('Inf2→Noun', 'P2sg')",1.9391021800098047,1.7865643980210302,1.9672982140895456,2.1020834983730077,0.06744908162728278,75.30905718277039,1.4283763247039545e+26,1.8960163709438105,1.9831670876591867,1.746867896552063,1.82716297813715,254387,30628,9612,6540,675
"('Past', 'A2pl')",1.9389449279658868,1.8355370373105757,1.9517712706902188,0.9226349460339929,0.023612909736120687,25.04578358135264,1.4364732090018658e+26,1.863421838955761,2.0175289111087267,1.7640417487901232,1.9099299762319493,213714,24122,2808,2723,516
"('Start→Verb', 'Narr')",1.930561827023272,1.9795266141610959,1.9795387652876548,1.3780747460183929,1.4936519790888722e-05,0.6152682168297364,1.303982303701666e+26,0.25843303478982516,14.421797782123836,0.264987664825879,14.787577447225404,10,133890,1,1,1
"('NarrPart→Adj', 'Ins')",1.9285867487236452,1.9387106072854199,1.9395112987086294,1.1009662795721695,0.002602895721490158,2.1351883492322967,1.4546747793438245e+26,1.177866298798145,3.157783571146945,1.184049350621769,3.1743599342605795,2708,9586,16,3,12
"('NarrPart→Adj', 'Past')",1.908325862840553,2.0062871776524873,2.007136492561322,-0.30082679251218153,0.001247562632264742,-2.693907802156668,1.2131326984365436e+26,1.5976385710156051,2.2794314464197867,1.679651175916315,2.396442962043525,2708,213714,135,129,103
"('Pass→Verb', 'FutPart→Adj')",1.9064949263979374,1.6359682510992022,1.9081992650589328,0.6445341032932612,0.007428936087565723,11.793063373524287,1.4560143755479912e+26,1.7747121779281025,2.0480633139196995,1.5228851321493007,1.7574484523512928,279811,8521,1071,799,307
"('Unable', 'A2sg')",1.9033143106874777,1.890148510117527,1.916502222859343,2.577055158978131,0.03384979769071351,21.80449242482591,1.4453657327347574e+26,1.763180366650894,2.054585811971565,1.7509839149425086,2.0403736206890346,23527,17005,686,0,258
"('Able→Verb', 'Equ')",1.886527052519343,1.8465183226813935,1.8867011544542447,3.191973627709766,0.0008261959185921621,3.4491860274286514,1.4665623400115452e+26,1.123834056841824,3.1668236944951698,1.1000002225467762,3.099662932889195,36153,158,15,0,10
"('Related→Adj', 'With→Adj')",1.8807404746700724,1.879847164539757,1.8811113127646701,0.7460755886745619,0.0005580357142857143,0.4037768612294193,1.4631513672963807e+26,0.26443638188614366,13.376316480480309,0.26431078045312073,13.369963025987653,726,2858,1,0,1
"('Pass→Verb', 'Desr')",1.865919722568539,1.6113208018195688,1.867432043002925,0.6833846188950745,0.006921329869190343,11.90302541346525,1.4570400719965498e+26,1.732701895782518,2.0093799282754743,1.4962801315928638,1.7352063103401036,279811,7706,995,777,326
"('Start→Verb', 'Acc')",1.8631761994552691,1.959073183936554,1.9590846660614105,3.1758366617499454,5.1928494463124276e-05,1.2577216497938553,1.3715331020728418e+26,0.4323052268117101,8.030033723669401,0.45455581569260145,8.443336566206813,10,77019,2,0,1
"('Neg', 'Inf1→Noun')",1.8595666302876022,1.7856245852940515,1.8714088662854336,0.03155898888287126,0.02552871980978601,1.048377124620834,1.3794130660008831e+26,1.7814827470302756,1.9410729956513133,1.7106455555628346,1.8638900087969956,113282,70511,2346,2345,460
"('Acquire→Verb', 'WithoutHavingDoneSo→Adv')",1.8420670104816184,1.776992276898898,1.8428731754579626,0.42126618608182553,0.004261895079300529,2.8984165972836884,1.4589946344873717e+26,1.5410249796339646,2.2019181492506803,1.4865851631542273,2.1241309481781303,55321,6154,131,93,31
"('Unable', 'P1sg')",1.835159935198889,1.8202049800885691,1.8436184157698077,2.4281803512074647,0.026074623608989746,17.80225688882878,1.4502141437284872e+26,1.6749098596350258,2.010742230924033,1.6612608030682152,1.9943564330297288,23527,13137,478,0,178
"('Pass→Verb', 'Prog1')",1.8195363623176866,1.5975570882563301,1.8416789386299401,0.3815776676639078,0.07096351858810296,28.53825707968783,1.292990038274298e+26,1.784924976947872,1.854818895221817,1.5671682127290025,1.6285352328540197,279811,143336,15014,13415,629
"('Become→Verb', 'Opt')",1.817311816289126,1.7648690834303609,1.8284636144077653,2.2231204552845893,0.04497828380732707,33.65270958716665,1.4371366578328312e+26,1.7322144112349018,1.9065897478994132,1.6822273606868066,1.8515706939736438,57916,23590,1833,66,50
"('A3pl', 'P2pl')",1.8131985061745517,1.7897814024112026,1.8164805375089537,0.7188476784955509,0.004813654804195657,5.938549090649041,1.4599511450054835e+26,1.5890547072215697,2.0689588645705497,1.568532376744278,2.0422386658450575,89751,5395,229,229,120
"('Become→Verb', 'Narr')",1.796965861631208,1.7711001139365046,1.8344949386454834,1.4585870635109426,0.06385618802331522,49.82646279092324,1.3039823037016698e+26,1.7497251013079134,1.845482073414995,1.724539342929378,1.818917977398881,57916,133890,6124,4284,48
"('Ness→Noun', 'A3sg')",1.7966759255411013,2.5933500116024413,2.5933518510822027,1.704573381444926,3.746244389999026e-06,0.6931881414982548,8.952856158673334e+25,0.11237413977801446,28.72586511270031,0.1622025834232515,41.4633610682325,2,533866,1,1,1
"('Unable', 'AorPart→Adj')",1.789096097389327,1.76869812279524,1.7900904638748851,1.2521404150674043,0.004403184970461968,4.494055868178997,1.462055928314669e+26,1.3840572515134524,2.312667949388371,1.368277235730997,2.2863005887166774,23527,3726,60,60,37
"('Aor', 'A3pl')",1.7635153551510587,1.749722563939322,1.8174143628494344,1.5561954760779138,0.09023655952805448,66.07710231981896,1.3562059716600677e+26,1.7266017988096762,1.8012180978831354,1.713097715589062,1.7871304263024272,131800,89751,9996,9941,697
"('Neg', 'Narr')",1.741836164561887,1.703483635510596,1.775435525814826,0.7792662796244946,0.06052465489618565,36.13307087743481,1.3039823037016674e+26,1.7000118685640113,1.7846894367499087,1.6625802456001832,1.7453933451523964,113282,133890,7480,7053,630
"('Related→Adj', 'Neces')",1.739213561308621,1.7416663393833984,1.742651763919359,2.3866600803785176,0.0020353409196040336,2.682408831618777,1.4540499122720734e+26,0.9614674794369908,3.1460906130814683,0.962823417779261,3.150527481703412,726,10083,11,0,1
"('Pass→Verb', 'FutPart→Noun')",1.7380021006729678,1.5339282116819728,1.7422811729479784,1.4719451022044463,0.02233825136983046,36.69835873786338,1.4481897239608745e+26,1.6691978661164204,1.80964244159474,1.4732028785948577,1.5971566393069279,279811,14751,3290,1948,463
"('Hastily→Verb', 'Fut')",1.7354951428783525,1.7455896581337493,1.7474393686661756,1.3731362562494214,0.0031028078225718344,5.173278123269177,1.4123537061651438e+26,1.3723350464260662,2.194758050374268,1.3803172393572938,2.2075238703838034,2189,43576,71,69,50
"('Acquire→Verb', 'FutPart→Adj')",1.7332841780922317,1.6804151510969865,1.73470031274389,0.9627389966557658,0.00827041759343379,7.911782986723502,1.4560143755479822e+26,1.5289043829371662,1.964984910471233,1.4822693947936625,1.9050484952024465,55321,8521,264,43,37
"('Acquire→Verb', 'Hastily→Verb')",1.7286671698954563,1.6751430099885571,1.7288640666973243,0.08854903932592355,0.0012867327421318031,0.36212015266768716,1.4639960368401019e+26,1.2367792350049645,2.416187222178234,1.1984852414029794,2.3413756022799426,55321,2189,37,37,12
"('A3pl', 'P1pl')",1.714757138990549,1.6983262479567354,1.7206519910651215,0.6875808121082193,0.009230464494404279,8.184319048086401,1.4526223260857944e+26,1.5630852647731666,1.8811462893201543,1.5481077014331086,1.8631210488965,89751,11219,466,466,184
"('Inf2→Noun', 'P1pl')",1.6967123778900517,1.5845477972713695,1.7020734562884015,1.618432207613664,0.018960415050864814,33.84894600857115,1.4526223260857958e+26,1.6253658992384168,1.7711906559835067,1.5179178209337756,1.654102539156559,254387,11219,2518,2344,538
"('Become→Verb', 'Hastily→Verb')",1.6885478516992507,1.639338939883824,1.6887299309478108,-0.017114054867105676,0.001197903668579985,-0.07159955878352625,1.4639960368401014e+26,1.2029482354484038,2.370171686078712,1.167891027222334,2.301098387758919,57916,2189,36,33,16
"('PastPart→Noun', 'A3pl')",1.6847509684910866,1.6796986950420185,1.7311552274483737,1.8978864719287651,0.09537496000314362,67.51868559110413,1.3562059716600684e+26,1.6468238192240274,1.7235515983543905,1.6418852826611963,1.7183829686035712,88388,89751,8495,8495,670
"('Inf2→Noun', 'Acc')",1.669966557076786,1.6103737958586473,1.731157430193303,2.2933231594372554,0.1665449629759268,132.7608671092932,1.3715331020728427e+26,1.6476549853884068,1.692580258905043,1.5888584126678116,1.6321805276744816,254387,77019,27597,11880,715
"('Neg', 'A1sg')",1.6576081227086126,1.6355646407070639,1.6974264331108642,1.9508994918709748,0.10288207601331956,73.70324656195478,1.3699663374675311e+26,1.6227135059211906,1.6932531087240579,1.6011340653577637,1.6707356065986256,113282,78316,9856,2492,569
"('Able→Verb', 'P1pl')",1.648269688241461,1.6273735289741855,1.653392828555681,2.361619505747089,0.025289200371527484,19.714110575841286,1.4526223260857961e+26,1.5184371288266416,1.7892034603204017,1.4991869391837331,1.7665205943215105,36153,11219,599,0,224
"('FutPart→Noun', 'Abl')",1.6461914308882892,1.6510540669235099,1.6597622399374694,2.4441805005450314,0.027801724137931035,18.543000829751165,1.4386601285532492e+26,1.5078766606540526,1.7971935622072523,1.5123307327924358,1.8025022389588619,14751,22369,516,1,296
"('Neg', 'Past')",1.6437014070741809,1.6392183646268967,1.7009138060869304,1.0182968969346682,0.08618454048367565,60.22278962928891,1.2131326984365448e+26,1.6143549341452645,1.6735813534389272,1.6099519314687396,1.6690168162217904,113282,213714,14091,8444,658
"('Loc', 'Cond')",1.6236371094508355,1.6298284098767095,1.630295156882695,-2.6645956574381584,0.0008000213339022374,-20.68369586979887,1.4488618136516887e+26,0.9760094203214684,2.700995921040987,0.9797311679364495,2.7112954375394,23284,14215,15,15,13
"('Abl', 'A1sg')",1.6192853673186256,1.6571600297439673,1.657278334638787,-4.653612979982885,0.00039727864130704673,-108.0902503196105,1.3699663374675304e+26,1.0308999370308805,2.54349137741161,1.0550124176951163,2.602982977376322,22369,78316,20,19,17
"('Aor', 'A1sg')",1.6100557561586195,1.596916715795012,1.6461219026270633,1.512464192805907,0.08054598412305583,59.81860466891397,1.36996633746753e+26,1.5737704887165553,1.6471776262964273,1.5609275583427429,1.6337356487530061,131800,78316,8462,5827,594
"('Acquire→Verb', 'PastPart→Adj')",1.6090959880387508,1.5699482213917615,1.6121620499249882,0.6912603695891909,0.016722122685777663,9.97179645180726,1.4332287664953304e+26,1.4887364210393057,1.7391862401773293,1.4525168875602892,1.6968735020981656,55321,26726,686,294,65
"('Stay→Verb', 'PastPart→Noun')",1.6085055600447025,1.6200563142916795,1.6201755296893954,0.6146304585772548,0.0001580706349923223,0.9178195648689419,1.3578411377320067e+26,0.7613621537700077,3.3982384386764393,0.7668295312846382,3.422641349087698,180,88388,7,7,2
"('Related→Adj', 'Opt')",1.5916505551673266,1.5982336953636778,1.5989611074041619,2.5589589867711258,0.0023852607336733015,4.471332027259034,1.4371366578328272e+26,1.1033438687938681,2.2960670389493516,1.1079073499860643,2.305563678251586,726,23590,29,0,1
"('A3pl', 'Cop')",1.591104157814267,1.6100549800901478,1.6281522275461389,1.0262113424850583,0.04371584699453552,29.518820343956477,1.3873652711134851e+26,1.5358282737236382,1.648369472243089,1.5541207334087364,1.6680023521900427,89751,63969,3360,3155,575
"('Acquire→Verb', 'Opt')",1.5842875893585349,1.5511053800204513,1.5912942743308929,2.113711399299067,0.0411349495000697,30.985435567965673,1.4371366578328317e+26,1.5059845546793504,1.6666619574527393,1.474442368090914,1.6317544530706536,55321,23590,1623,86,108
"('Neg', 'FutPart→Noun')",1.5780733956542146,1.5321137520633847,1.5814212070415712,1.0497093127303843,0.015527246881663322,16.30011815156666,1.4481897239608625e+26,1.478515788130618,1.6843348323119962,1.435455649829682,1.6352804418166875,113282,14751,994,987,342
"('Caus→Verb', 'NarrPart→Adj')",1.5750924921021403,1.4801969327304432,1.5757734788594422,1.7685825457027031,0.005211948360066127,14.358690473623438,1.4633407272449471e+26,1.4171491158979936,1.7506388924389715,1.331769267577616,1.6451670818698485,155774,2708,413,260,99
"('A3pl', 'P3sg')",1.5718553567457394,1.6396232416828416,1.6583680823403597,0.9347620864379443,0.06197045517572507,41.30414875334703,1.2831402547776636e+26,1.533595387141243,1.6110698318778414,1.5997137582049934,1.680528382579587,89751,151848,7486,7486,679
"('Become→Verb', 'PastPart→Noun')",1.5621554569923446,1.5341864493854875,1.5723650783961787,0.7236010625905894,0.03320483377077865,19.445536208609546,1.3578411377320106e+26,1.4986100198132917,1.6283954061077184,1.4717787368854265,1.5992404309760588,57916,88388,2429,1535,49
"('P2pl', 'Rel→Adj')",1.5466458641282002,1.5467700996003653,1.5472569830372311,0.85350401936165,0.0006547716483876248,0.631532932411366,1.465859499630297e+26,0.3862647856889237,6.192936860030889,0.3862958126933232,6.193434312261382,5395,714,2,0,2
"('Caus→Verb', 'Aor')",1.5456728763285128,1.4761350956175392,1.5691331085942517,1.2867856960900685,0.1001064073942707,70.94854052106025,1.3064231870213298e+26,1.517767736728729,1.5740910699333592,1.4494853713827502,1.5032747922355008,155774,131800,14394,8474,477
"('FutPart→Adj', 'P1sg')",1.5444265826703112,1.5482878532478512,1.5491168050524944,-0.30702402484719404,0.0024009603841536613,-1.2092527025150253,1.4502141437284862e+26,1.049508591101625,2.2727336293216958,1.0521325012888543,2.278415763773378,8521,13137,26,26,21
"('With→Adj', 'AsLongAs→Adv')",1.5396978288177978,1.5380170082359854,1.5400518683276496,0.8892736804773651,0.0016273393002441008,1.028847248313197,1.4626098894824784e+26,0.6396103484580434,3.706427530107027,0.6389121138967503,3.7023813857525965,2858,3287,5,0,1
"('Neg', 'Cond')",1.5361987206471501,1.49665498438546,1.541455509349401,1.856812366844331,0.026290814685835745,29.643454696311355,1.4488618136516896e+26,1.4609469293723705,1.6153266500459174,1.4233402712682093,1.5737460588324406,113282,14215,1676,0,468
"('FutPart→Noun', 'A3pl')",1.528813216756758,1.5550961710449467,1.5619914575539093,1.9608819195210627,0.028343955139614553,28.60447259442555,1.3562059716600677e+26,1.4501537286189325,1.6117393663884634,1.4750843896979844,1.639447965206786,14751,89751,1481,1481,433
"('Related→Adj', 'Pass→Verb')",1.5235978780451955,1.5367698553011677,1.537394625587639,0.06350997369074866,0.00043488024752528186,0.3363659152436666,1.1414103790442882e+26,1.181389046610583,1.9649331442879046,1.1916025221454627,1.9819206021066782,726,279811,61,0,1
"('Unable', 'Desr')",1.5232316348003663,1.511958850991892,1.5240891032328907,0.5822975266032218,0.004994717126116608,2.9330669745094426,1.457040071996537e+26,1.2166627486984514,1.9070482890502831,1.2076587496870343,1.892935042854735,23527,7706,78,78,56
"('Become→Verb', 'ByDoingSo→Adv')",1.5182508717650822,1.488153597328716,1.522061680888796,0.6130473521747597,0.020501820206874504,10.916023338303107,1.4179393548881775e+26,1.4233851262614698,1.6194392277160818,1.3951684371948412,1.5873360306911244,57916,39051,994,532,45
"('Desr', 'A3pl')",1.5150426464468447,1.544743937436714,1.547141793474458,1.412408576228462,0.010856069856449511,14.360360417039495,1.3562059716600674e+26,1.3873864422926263,1.654444753517726,1.414585127778196,1.6868789197546543,7706,89751,529,522,296
"('Able→Verb', 'A1pl')",1.5062456937933235,1.5012969120145152,1.5202959664389624,2.3435150084656873,0.05480871413390011,36.48193469353519,1.417845427527093e+26,1.4405992994046999,1.5748835161925034,1.4358661993581172,1.5697092243217985,36153,39127,2063,0,428
"('Neg', 'When→Adv')",1.499073689944907,1.4591545580018082,1.4995714382353345,-0.25762669046843967,0.002876278229751085,-2.5641583333193467,1.4587892728557777e+26,1.2825936127794886,1.7520919373792294,1.2484391719395576,1.7054351321175403,113282,6317,172,172,109
"('Acquire→Verb', 'PresPart→Adj')",1.498715412040283,1.4821945971692418,1.5154589363555901,1.1196554292563017,0.048327177927438625,36.02789324824087,1.309933559467926e+26,1.45314759765075,1.5457121423304416,1.4371290912363774,1.5286732676099917,55321,128799,4449,1749,119
"('EverSince→Verb', 'Prog2')",1.4917404850925127,1.4957586922284007,1.4958727580764832,1.1272942800915797,0.0003254149040026033,1.0844537085888224,1.4362238440807763e+26,0.5575080267431037,3.9914935177954756,0.5590097509060938,4.002245151807112,262,24322,4,4,4
