collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('With→Adj', 'Become→Verb')",8738.5,2913.5000000000005,11651.0,6.48902783990356,0.0332409972299169,4.19554644209241,5.444932380169508e+21,3340.2591663313533,22860.915410305886,1113.6745529674888,7622.04921301438,53,1030,18,18,1
"('Related→Adj', 'Become→Verb')",3178.393939393939,3277.6875,4369.916666666666,8.047023293024449,0.011583011583011582,2.4402551397153083,5.444932380169514e+21,1116.8627484617746,9045.14726441509,1151.7537283458419,9327.71918445253,6,1030,6,6,2
"('Loc', 'Rel→Adj')",1834.742482230727,2458.0805860805863,3790.734463276836,7.591927541823848,0.0443213296398892,5.627863919507894,5.505223267947021e+21,1048.3646202233426,3210.9820487694624,1404.5375550314866,4301.885802925948,1412,32,32,32,23
"('Inf3→Noun', 'Equ')",881.3193277310924,806.8307692307692,949.0361990950223,11.563598818765353,0.16216216216216217,1.731488111789764,5.506557310678464e+21,248.2712664707565,3128.5285988738206,227.28753427000413,2864.107317932331,27,10,3,0,3
"('Inf2→Noun', 'With→Adj')",473.6659392850267,13.134436612524263,474.2430278884463,2.9977941222105686,0.0030947145533023863,3.813335830214361,5.503950043817571e+21,28.570115582515268,7852.940650197202,0.7922300106641861,217.75674085331224,12226,53,19,19,18
"('P2sg', 'Equ')",93.44413157557916,61.44066945606694,93.98564531702607,6.8019420605891305,0.008144269924374637,2.622073423099892,5.506557310678463e+21,37.21619152072768,234.62383895598083,24.470105110766433,154.26806898139392,1709,10,7,7,4
"('FeelLike→Noun', 'P1sg')",92.73651635720601,590.5113636363636,597.2873563218391,7.160703036884664,0.02687843616371411,4.657822637092825,5.410037703641312e+21,31.926608041329185,269.3697199194325,203.2966687917217,1715.2453734543303,26,1611,22,22,17
"('Agt→Noun', 'P1sg')",86.78138572905895,429.46384297520666,429.9069286452949,7.401711136388459,0.0024798512089274642,1.4058554182443197,5.41003770364131e+21,3.9119524515716173,1925.1279258341046,19.359475759392748,9527.075769784089,2,1611,2,2,2
"('Acquire→Verb', 'Caus→Verb')",80.72694420795384,49.628929137645606,99.7344451924262,3.9717546384541946,0.10950946643717728,21.14284712810383,5.023622067520812e+21,70.82030164381649,92.01936972719875,43.53857025398659,56.57123311539894,1075,8221,509,509,24
"('Hastily→Verb', 'When→Adv')",65.27637721755369,66.10718789407315,67.3837994214079,4.758535708215739,0.0068846815834767644,1.3619725658212876,5.4742370810775e+21,15.750156480349327,270.5373389759399,15.950617944641612,273.9806261067388,37,544,2,2,2
"('Become→Verb', 'Caus→Verb')",59.37450842070268,41.39936288694891,70.98369771262479,3.76984556934794,0.09166576586314992,19.096581505683563,5.023622067520852e+21,52.01426336524565,67.77626024317811,36.26737166558678,47.25755324231468,1030,8221,424,424,32
"('When→Adv', 'Dat')",51.235268974781704,2646.3472668810286,2663.469255663431,2.3680762316575605,0.016960208741030658,4.111516537619003,5.355625799398497e+21,3.1201147796913453,841.3321214990399,161.15670679225656,43455.55327062057,544,2522,26,26,20
"('Caus→Verb', 'Pass→Verb')",50.81631696089937,10.44180118925323,54.47923685187061,1.7855538666399708,0.1218233158531666,24.729615180030173,4.83299253776323e+21,44.392218925007825,58.17006069989179,9.121769386030149,11.952857769334733,8221,11611,1208,1208,131
"('Repeat→Verb', 'PastPart→Noun')",50.711385061638865,75.51304347826087,75.56707759245829,4.477079223734223,0.00032690421706440013,0.9550998383000904,5.144567581155276e+21,4.595449042739769,559.606809030487,6.842967174821744,833.2963741709397,2,6116,1,1,1
"('Pass→Verb', 'FeelLike→Adj')",46.503691345151196,7.502154568698854,46.51508198089199,3.815281711388392,0.0010326133723431719,2.275509938225607,5.50655730875467e+21,5.5982105175930545,386.300819150848,0.9031248788270178,62.31953574986084,11611,10,6,6,5
"('Aor', 'While→Adv')",45.852223128265535,11.994451773575744,48.4546850056047,4.371102625198105,0.12305740564541706,26.548452635728125,5.454568547409922e+21,39.575135196724176,53.12493198957603,10.352432622993826,13.896914724090166,11742,870,776,768,158
"('A2pl', 'Cop')",39.66860046606396,2422.6958930276983,2437.1218293620204,-0.6636703403735221,0.00841248303934871,-3.252358581170652,5.313238483616905e+21,2.426140283782896,648.6013498290453,148.1726108905271,39612.28296388557,4134,3236,31,31,23
"('A2sg', 'Cop')",39.054295570278704,1328.5751671442215,1332.900344959754,-1.9383570413751654,0.003898635477582846,-11.679841541066374,5.313238483617118e+21,2.3454864764210868,650.286419394756,79.79032887273809,22121.878674890155,5485,3236,17,17,15
"('A1sg', 'Cop')",38.55532797647182,820.5885386819483,827.217215482381,-2.318462316171937,0.004024530471444998,-25.84720555914632,5.313238483619129e+21,9.33044867639057,159.31852442795497,198.58368859625767,3390.8401771366102,17636,3236,42,42,27
"('A1pl', 'Cop')",37.03429101019463,468.90888252148994,469.4457831325305,-4.142085960927698,0.0009873292743129835,-40.79913041595782,5.313238483617668e+21,2.068185821903249,663.1602905804775,26.186290493005036,8396.589817343009,8918,3236,6,6,6
"('Prog2', 'Cop')",34.91003411804844,118.68016055317436,137.90125344352617,6.0810061073307065,0.3542168674698795,26.74651211882451,5.313238483616328e+21,30.100433087814903,40.48813778086995,102.32943971071828,137.64348313393478,914,3236,735,735,169
